Tc,x,y
2500,0.47699,0.41368
3000,0.43693,0.40407
3500,0.4053,0.39072
4000,0.38044,0.37675
4500,0.36079,0.36354
5000,0.3451,0.35161
5500,0.33243,0.34103
6000,0.32208,0.33175
6500,0.31352,0.32363
7000,0.30637,0.31651
7500,0.30033,0.31026
8000,0.29519,0.30476
8500,0.29076,0.2999
9000,0.28692,0.29558
9500,0.28358,0.29173
10000,0.28063,0.28829
10500,0.27803,0.28519
11000,0.27571,0.28239
11500,0.27364,0.27986
12000,0.27178,0.27756
12500,0.2701,0.27546
13000,0.26858,0.27354
13500,0.2672,0.27178
14000,0.26593,0.27016
14500,0.26477,0.26866
15000,0.26371,0.26728
15500,0.26272,0.26599
16000,0.26181,0.2648
16500,0.26097,0.26369
17000,0.26019,0.26265
17500,0.25946,0.26167
18000,0.25878,0.26076
18500,0.25814,0.25991
19000,0.25754,0.2591
19500,0.25698,0.25834
20000,0.25646,0.25763
20500,0.25646,0.25763
21000,0.25646,0.25763
21500,0.25646,0.25763
22000,0.25646,0.25763
22500,0.25646,0.25763
23000,0.25646,0.25763
23500,0.25646,0.25763
24000,0.25646,0.25763
24500,0.25646,0.25763
25000,0.25646,0.25763
